source_path,relative_path,experiment_id,experiment_name,run_split,size_bytes,modified_time,parse_status,notes
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/1D+percentage_Label/样本权重+非对称损失/output/image_translation/array_03/logs/validation/events.out.tfevents.1758878607.ubuntusrv.13912.1.v2,temp_result/1D+percentage_Label/样本权重+非对称损失/output/image_translation/array_03/logs/validation/events.out.tfevents.1758878607.ubuntusrv.13912.1.v2,EXP-014,1D percentage label + sample weights + asymmetric loss failed attempt,validation,16454,2025-10-09T16:18:53,needs_tensorboard_dependency,TensorBoard EventAccumulator unavailable locally; no scalar values extracted or inferred.
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/1D+percentage_Label/样本权重+非对称损失/output/image_translation/array_03/logs/validation/events.out.tfevents.1759026265.ubuntusrv.4459.1.v2,temp_result/1D+percentage_Label/样本权重+非对称损失/output/image_translation/array_03/logs/validation/events.out.tfevents.1759026265.ubuntusrv.4459.1.v2,EXP-014,1D percentage label + sample weights + asymmetric loss failed attempt,validation,31024,2025-10-09T16:18:53,needs_tensorboard_dependency,TensorBoard EventAccumulator unavailable locally; no scalar values extracted or inferred.
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/1D+percentage_Label/样本权重+非对称损失/output/image_translation/array_03/logs/validation/events.out.tfevents.1759115659.ubuntusrv.42991.1.v2,temp_result/1D+percentage_Label/样本权重+非对称损失/output/image_translation/array_03/logs/validation/events.out.tfevents.1759115659.ubuntusrv.42991.1.v2,EXP-014,1D percentage label + sample weights + asymmetric loss failed attempt,validation,9944,2025-10-09T16:18:53,needs_tensorboard_dependency,TensorBoard EventAccumulator unavailable locally; no scalar values extracted or inferred.
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/1D+percentage_Label/样本权重+非对称损失/output/image_translation/array_03/logs/validation/events.out.tfevents.1759116029.ubuntusrv.5294.1.v2,temp_result/1D+percentage_Label/样本权重+非对称损失/output/image_translation/array_03/logs/validation/events.out.tfevents.1759116029.ubuntusrv.5294.1.v2,EXP-014,1D percentage label + sample weights + asymmetric loss failed attempt,validation,36648,2025-10-09T16:18:53,needs_tensorboard_dependency,TensorBoard EventAccumulator unavailable locally; no scalar values extracted or inferred.
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/image_translation/array_03/logs/train/events.out.tfevents.1758782241.ubuntusrv.22102.0.v2,temp_result/GaN+2Dlabel/output/image_translation/array_03/logs/train/events.out.tfevents.1758782241.ubuntusrv.22102.0.v2,EXP-005,Two-channel binary label and focal-loss/overfit test,train,7925,2025-09-26T14:25:27,needs_tensorboard_dependency,TensorBoard EventAccumulator unavailable locally; no scalar values extracted or inferred.
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/image_translation/array_03/logs/train/events.out.tfevents.1758782488.ubuntusrv.3728.0.v2,temp_result/GaN+2Dlabel/output/image_translation/array_03/logs/train/events.out.tfevents.1758782488.ubuntusrv.3728.0.v2,EXP-005,Two-channel binary label and focal-loss/overfit test,train,7925,2025-09-26T14:25:27,needs_tensorboard_dependency,TensorBoard EventAccumulator unavailable locally; no scalar values extracted or inferred.
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/image_translation/array_03/logs/train/events.out.tfevents.1758782660.ubuntusrv.39349.0.v2,temp_result/GaN+2Dlabel/output/image_translation/array_03/logs/train/events.out.tfevents.1758782660.ubuntusrv.39349.0.v2,EXP-005,Two-channel binary label and focal-loss/overfit test,train,137431,2025-09-26T14:25:27,needs_tensorboard_dependency,TensorBoard EventAccumulator unavailable locally; no scalar values extracted or inferred.
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/image_translation/array_03/logs/validation/events.out.tfevents.1758782669.ubuntusrv.39349.1.v2,temp_result/GaN+2Dlabel/output/image_translation/array_03/logs/validation/events.out.tfevents.1758782669.ubuntusrv.39349.1.v2,EXP-005,Two-channel binary label and focal-loss/overfit test,validation,34144,2025-09-26T14:25:27,needs_tensorboard_dependency,TensorBoard EventAccumulator unavailable locally; no scalar values extracted or inferred.
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/frequency-weighted_loss/output/image_translation/array_03/logs/train/events.out.tfevents.1758606614.ubuntusrv.23174.0.v2,temp_result/frequency-weighted_loss/output/image_translation/array_03/logs/train/events.out.tfevents.1758606614.ubuntusrv.23174.0.v2,EXP-003,FFT high-frequency weighted loss,train,7029382,2025-09-23T15:14:06,needs_tensorboard_dependency,TensorBoard EventAccumulator unavailable locally; no scalar values extracted or inferred.
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/frequency-weighted_loss/output/image_translation/array_03/logs/validation/events.out.tfevents.1758606635.ubuntusrv.23174.1.v2,temp_result/frequency-weighted_loss/output/image_translation/array_03/logs/validation/events.out.tfevents.1758606635.ubuntusrv.23174.1.v2,EXP-003,FFT high-frequency weighted loss,validation,23894,2025-09-23T15:14:04,needs_tensorboard_dependency,TensorBoard EventAccumulator unavailable locally; no scalar values extracted or inferred.
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/log_label/output/image_translation/array_03/logs/train/events.out.tfevents.1758164276.ubuntusrv.24064.0.v2,temp_result/log_label/output/image_translation/array_03/logs/train/events.out.tfevents.1758164276.ubuntusrv.24064.0.v2,EXP-002,FFT log-label image translation,train,9406009,2025-09-23T11:19:31,needs_tensorboard_dependency,TensorBoard EventAccumulator unavailable locally; no scalar values extracted or inferred.
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/log_label/output/image_translation/array_03/logs/validation/events.out.tfevents.1758164306.ubuntusrv.24064.1.v2,temp_result/log_label/output/image_translation/array_03/logs/validation/events.out.tfevents.1758164306.ubuntusrv.24064.1.v2,EXP-002,FFT log-label image translation,validation,31024,2025-09-23T11:19:29,needs_tensorboard_dependency,TensorBoard EventAccumulator unavailable locally; no scalar values extracted or inferred.
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/test_relativity/output/image_translation/array_03/logs/train/events.out.tfevents.1758782241.ubuntusrv.22102.0.v2,temp_result/test_relativity/output/image_translation/array_03/logs/train/events.out.tfevents.1758782241.ubuntusrv.22102.0.v2,EXP-006,CNN binary classification: CWT-label relationship test,train,7925,2025-09-25T17:15:21,needs_tensorboard_dependency,TensorBoard EventAccumulator unavailable locally; no scalar values extracted or inferred.
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/test_relativity/output/image_translation/array_03/logs/train/events.out.tfevents.1758782488.ubuntusrv.3728.0.v2,temp_result/test_relativity/output/image_translation/array_03/logs/train/events.out.tfevents.1758782488.ubuntusrv.3728.0.v2,EXP-006,CNN binary classification: CWT-label relationship test,train,7925,2025-09-25T17:15:21,needs_tensorboard_dependency,TensorBoard EventAccumulator unavailable locally; no scalar values extracted or inferred.
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/test_relativity/output/image_translation/array_03/logs/train/events.out.tfevents.1758782660.ubuntusrv.39349.0.v2,temp_result/test_relativity/output/image_translation/array_03/logs/train/events.out.tfevents.1758782660.ubuntusrv.39349.0.v2,EXP-006,CNN binary classification: CWT-label relationship test,train,137431,2025-09-25T17:15:21,needs_tensorboard_dependency,TensorBoard EventAccumulator unavailable locally; no scalar values extracted or inferred.
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/test_relativity/output/image_translation/array_03/logs/validation/events.out.tfevents.1758782669.ubuntusrv.39349.1.v2,temp_result/test_relativity/output/image_translation/array_03/logs/validation/events.out.tfevents.1758782669.ubuntusrv.39349.1.v2,EXP-006,CNN binary classification: CWT-label relationship test,validation,34144,2025-09-25T17:15:21,needs_tensorboard_dependency,TensorBoard EventAccumulator unavailable locally; no scalar values extracted or inferred.
